latitude,longitude,DepthInMet,Observatio,Genus,LEVEL_1,NAME_L1
34.4334,-75.69965,393,1957,Lophelia,10,Gulf Stream
34.32377,-75.78709,401,2002,Madrepora,10,Gulf Stream
34.32389,-75.79171,407,2005,Madrepora,10,Gulf Stream
34.3256,-75.7859,404,2005,Lophelia,10,Gulf Stream
34.3246,-75.7857,411,2004,Lophelia,10,Gulf Stream
34.3,-75.78333,450,1970,Lophelia,10,Gulf Stream
34.32389,-75.79171,407,2005,Lophelia,10,Gulf Stream
34.3235,-75.792,375,2005,Lophelia,10,Gulf Stream
34.31844,-75.80356,401,2002,Lophelia,10,Gulf Stream
34.3228,-75.7928,373,2005,Lophelia,10,Gulf Stream
34.32447,-75.78665,401,2002,Lophelia,10,Gulf Stream
34.32555,-75.78594,405,2005,Lophelia,10,Gulf Stream
34.3249,-75.7866,387,2005,Lophelia,10,Gulf Stream
34.32393,-75.78659,405,2004,Lophelia,10,Gulf Stream
34.32389,-75.79171,407,2005,Lophelia,10,Gulf Stream
34.32389,-75.79171,407,2005,Lophelia,10,Gulf Stream
34.32424,-75.78643,405,2003,Lophelia,10,Gulf Stream
34.32377,-75.78709,401,2002,Lophelia,10,Gulf Stream
34.32393,-75.78659,405,2004,Lophelia,10,Gulf Stream
34.2347,-75.8722,372,2005,Lophelia,10,Gulf Stream
34.2351,-75.8723,368,2005,Lophelia,10,Gulf Stream
34.23491,-75.8715,394,2005,Lophelia,10,Gulf Stream
34.23312,-75.87303,393,2005,Lophelia,10,Gulf Stream
34.25,-75.7267,1007,1984,Anthoptilum,10,Gulf Stream
34.216,-75.883,402,2005,Enallopsammia,10,Gulf Stream
34.20613,-75.88171,432,2006,Lophelia,10,Gulf Stream
34.18053,-75.89125,430,2005,Lophelia,10,Gulf Stream
34.21597,-75.88424,404,2005,Lophelia,10,Gulf Stream
34.1821,-75.8907,415,2005,Lophelia,10,Gulf Stream
34.1826,-75.8915,432,2005,Lophelia,10,Gulf Stream
34.216,-75.8838,391,2005,Lophelia,10,Gulf Stream
34.2154,-75.884,393,2005,Lophelia,10,Gulf Stream
34.20613,-75.88171,432,2006,Lophelia,10,Gulf Stream
34.18053,-75.89125,430,2005,Lophelia,10,Gulf Stream
34.18053,-75.89125,430,2005,Lophelia,10,Gulf Stream
34.18053,-75.89125,430,2005,Lophelia,10,Gulf Stream
34.21597,-75.88424,404,2005,Lophelia,10,Gulf Stream
34.18053,-75.89125,430,2005,Lophelia,10,Gulf Stream
34.21597,-75.88424,404,2005,Lophelia,10,Gulf Stream
33.83,-76.25,420,1964,Peponocyathus,10,Gulf Stream
33.6417,-76.4883,338,1964,Cryptotrochus,10,Gulf Stream
33.57742,-76.46609,426,2005,Madrepora,10,Gulf Stream
33.56957,-76.46386,386,2005,Madrepora,10,Gulf Stream
33.56957,-76.46386,386,2005,Madrepora,10,Gulf Stream
33.57742,-76.46609,426,2005,Madrepora,10,Gulf Stream
33.57742,-76.46609,426,2005,Thecopsammia,10,Gulf Stream
33.57742,-76.46609,426,2005,Thecopsammia,10,Gulf Stream
33.5697,-76.4583,397,2005,Thecopsammia,10,Gulf Stream
